"date","selic","selic.lag","selic.var","selic.next.var"
2000-01-10,19,NA,NA,0
2000-02-04,19,19,0,0
2000-02-15,19,19,0,-0.5
2000-03-30,18.5,19,-0.5,0
2000-05-04,18.5,18.5,0,0
2000-06-09,18.5,18.5,0,-1
2000-07-06,17.5,18.5,-1,-1
2000-08-01,16.5,17.5,-1,0
2000-09-12,16.5,16.5,0,0
2000-10-04,16.5,16.5,0,0
2000-11-01,16.5,16.5,0,0
2000-12-07,16.5,16.5,0,-0.75
2001-01-10,15.75,16.5,-0.75,-0.5
2001-02-21,15.25,15.75,-0.5,0.5
2001-03-28,15.75,15.25,0.5,0
2001-03-29,15.75,15.75,0,0.5
2001-04-27,16.25,15.75,0.5,0.5
2001-06-01,16.75,16.25,0.5,1.5
2001-07-03,18.25,16.75,1.5,0.75
2001-07-30,19,18.25,0.75,0
2001-09-03,19,19,0,0
2001-09-28,19,19,0,0
2001-10-30,19,19,0,0
2001-12-03,19,19,0,0
2002-01-03,19,19,0,0
2002-02-04,19,19,0,-0.25
2002-03-04,18.75,19,-0.25,-0.25
2002-04-01,18.5,18.75,-0.25,0
2002-04-29,18.5,18.5,0,0
2002-06-03,18.5,18.5,0,0
2002-06-28,18.5,18.5,0,-0.5
2002-07-26,18,18.5,-0.5,0
2002-08-30,18,18,0,0
2002-09-27,18,18,0,3
2002-10-18,21,18,3,0
2002-11-01,21,21,0,1
2002-11-29,22,21,1,3
2002-12-27,25,22,3,0.5
2003-01-30,25.5,25,0.5,1
2003-02-26,26.5,25.5,1,0
2003-03-27,26.5,26.5,0,0
2003-04-30,26.5,26.5,0,0
2003-05-30,26.5,26.5,0,-0.5
2003-06-27,26,26.5,-0.5,-1.5
2003-07-31,24.5,26,-1.5,-2.5
2003-08-29,22,24.5,-2.5,-2
2003-09-25,20,22,-2,-1
2003-10-31,19,20,-1,-1.5
2003-11-28,17.5,19,-1.5,-1
2003-12-24,16.5,17.5,-1,0
2004-01-30,16.5,16.5,0,0
2004-02-27,16.5,16.5,0,-0.25
2004-03-30,16.25,16.5,-0.25,-0.25
2004-04-26,16,16.25,-0.25,0
2004-05-28,16,16,0,0
2004-06-25,16,16,0,0
2004-07-29,16,16,0,0
2004-08-18,16,16,0,0.25
2004-09-30,16.25,16,0.25,0.5
2004-10-28,16.75,16.25,0.5,0
2004-11-01,16.75,16.75,0,0.5
2004-12-01,17.25,16.75,0.5,0.5
2005-01-01,17.75,17.25,0.5,0.5
2005-02-01,18.25,17.75,0.5,0.5
2005-03-01,18.75,18.25,0.5,0.75
2005-04-29,19.5,18.75,0.75,0
2005-05-01,19.5,19.5,0,0.25
2005-06-01,19.75,19.5,0.25,0
2005-07-01,19.75,19.75,0,0
2005-08-01,19.75,19.75,0,0
2005-09-01,19.75,19.75,0,-0.25
2005-10-01,19.5,19.75,-0.25,-0.5
2005-11-01,19,19.5,-0.5,-0.5
2005-12-01,18.5,19,-0.5,-0.5
2006-01-01,18,18.5,-0.5,-0.75
2006-03-01,17.25,18,-0.75,-0.75
2006-04-01,16.5,17.25,-0.75,-0.75
2006-05-31,15.75,16.5,-0.75,-0.5
2006-07-01,15.25,15.75,-0.5,-0.5
2006-08-01,14.75,15.25,-0.5,-0.5
2006-10-01,14.25,14.75,-0.5,-0.5
2006-11-01,13.75,14.25,-0.5,-0.5
